"ID","Cohort_ID","Year","Grade","Domain","Government","Exposure_group","N_student","P_girls","ICSEA","ScoreDif","SE"
1,3,2008,"Year 7","Grammar and Punctuation","Yes","Moderate exposure",1269,0.504334121355398,1007,-23.9543185282481,5.46419889930025
1,4,2009,"Year 7","Grammar and Punctuation","Yes","Moderate exposure",1266,0.4913112164297,1007,-25.4495927489052,6.25313889712797
1,5,2010,"Year 7","Grammar and Punctuation","Yes","Moderate exposure",1191,0.482787573467674,954,-37.7181879085976,5.8073566502102
1,6,2011,"Year 7","Grammar and Punctuation","Yes","Moderate exposure",1146,0.465968586387435,955,-32.0140139255085,6.12202960204709
1,7,2012,"Year 7","Grammar and Punctuation","Yes","Moderate exposure",1061,0.471253534401508,952,-34.2681293677414,6.16884319336826
1,8,2013,"Year 7","Grammar and Punctuation","Yes","Moderate exposure",1034,0.477756286266925,942,-41.026004437833,6.31991971255367
1,9,2014,"Year 7","Grammar and Punctuation","Yes","Moderate exposure",984,0.484756097560976,943,-32.1851358573724,6.31146270404267
1,10,2015,"Year 7","Grammar and Punctuation","Yes","Moderate exposure",955,0.518324607329843,948,-38.0451324184883,6.11719822301158
1,11,2016,"Year 7","Grammar and Punctuation","Yes","Moderate exposure",917,0.523446019629226,947,-33.8170228312259,5.96718747511857
1,12,2017,"Year 7","Grammar and Punctuation","Yes","Moderate exposure",877,0.507411630558723,941,-31.4519320882805,5.84212693623035
1,13,2018,"Year 7","Grammar and Punctuation","Yes","Moderate exposure",918,0.517429193899782,952,-33.0591956830138,6.05643409302858
1,1,2008,"Year 9","Grammar and Punctuation","Yes","Moderate exposure",1269,0.504334121355398,1007,-30.3650800952532,5.06907124122089
1,2,2009,"Year 9","Grammar and Punctuation","Yes","Moderate exposure",1266,0.4913112164297,1007,-21.8248593574569,4.72570401746306
1,3,2010,"Year 9","Grammar and Punctuation","Yes","Moderate exposure",1191,0.482787573467674,954,-12.6230070464793,4.79333182276961
1,4,2011,"Year 9","Grammar and Punctuation","Yes","Moderate exposure",1146,0.465968586387435,955,-41.6760308988298,6.04949613442119
1,5,2012,"Year 9","Grammar and Punctuation","Yes","Moderate exposure",1061,0.471253534401508,952,-35.0038111331801,6.16443408708921
1,6,2013,"Year 9","Grammar and Punctuation","Yes","Moderate exposure",1034,0.477756286266925,942,-26.8044413896273,5.78163337373094
1,7,2014,"Year 9","Grammar and Punctuation","Yes","Moderate exposure",984,0.484756097560976,943,-41.9695692241716,7.40655863614676
1,8,2015,"Year 9","Grammar and Punctuation","Yes","Moderate exposure",955,0.518324607329843,948,-38.191750662522,6.03193942049688
1,9,2016,"Year 9","Grammar and Punctuation","Yes","Moderate exposure",917,0.523446019629226,947,-26.2832915268456,5.81823558014932
1,10,2017,"Year 9","Grammar and Punctuation","Yes","Moderate exposure",877,0.507411630558723,941,-31.9044977335367,5.76072730502809
1,11,2018,"Year 9","Grammar and Punctuation","Yes","Moderate exposure",918,0.517429193899782,952,-27.7696668984799,5.44483973412092
2,16,2008,"Year 7","Grammar and Punctuation","No","Moderate exposure",1337,0.535527299925206,1020,-0.184175775323263,5.32446379102155
2,17,2009,"Year 7","Grammar and Punctuation","No","Moderate exposure",1296,0.537808641975309,1020,6.28780382835554,5.47074736234936
2,18,2010,"Year 7","Grammar and Punctuation","No","Moderate exposure",1234,0.534035656401945,1003,11.7934058893872,5.61120317083213
2,19,2011,"Year 7","Grammar and Punctuation","No","Moderate exposure",1198,0.51669449081803,1009,-1.75541923323489,5.62829192728073
2,20,2012,"Year 7","Grammar and Punctuation","No","Moderate exposure",1204,0.498338870431894,1001,4.64433581272359,5.26618268228223
2,21,2013,"Year 7","Grammar and Punctuation","No","Moderate exposure",1180,0.492372881355932,1007,15.4123313311692,6.00420843750301
2,22,2014,"Year 7","Grammar and Punctuation","No","Moderate exposure",1131,0.470380194518126,1009,-3.20311091578995,5.93029756350186
2,23,2015,"Year 7","Grammar and Punctuation","No","Moderate exposure",1169,0.494439692044482,1016,1.06874070981879,5.33618296258838
2,24,2016,"Year 7","Grammar and Punctuation","No","Moderate exposure",1180,0.483050847457627,1013,-2.72098990872866,5.33585753583529
2,25,2017,"Year 7","Grammar and Punctuation","No","Moderate exposure",1206,0.479270315091211,1018,0.664223460541165,4.97244575167416
2,26,2018,"Year 7","Grammar and Punctuation","No","Moderate exposure",1185,0.487763713080169,1022,5.10624246074436,5.31821314122733
2,14,2008,"Year 9","Grammar and Punctuation","No","Moderate exposure",1337,0.535527299925206,1020,15.450053500523,5.05906107471313
2,15,2009,"Year 9","Grammar and Punctuation","No","Moderate exposure",1296,0.537808641975309,1020,-0.941216028900816,5.0979884081074
2,16,2010,"Year 9","Grammar and Punctuation","No","Moderate exposure",1234,0.534035656401945,1003,0.347964775238291,5.13815516758212
2,17,2011,"Year 9","Grammar and Punctuation","No","Moderate exposure",1198,0.51669449081803,1009,-0.249585483064587,5.10376955443296
2,18,2012,"Year 9","Grammar and Punctuation","No","Moderate exposure",1204,0.498338870431894,1001,-0.482761216559315,6.08441722902655
2,19,2013,"Year 9","Grammar and Punctuation","No","Moderate exposure",1180,0.492372881355932,1007,-10.1503500175111,5.9173280483392
2,20,2014,"Year 9","Grammar and Punctuation","No","Moderate exposure",1131,0.470380194518126,1009,0.387809414418784,5.14888277698579
2,21,2015,"Year 9","Grammar and Punctuation","No","Moderate exposure",1169,0.494439692044482,1016,3.81604751939866,6.05565503004272
2,22,2016,"Year 9","Grammar and Punctuation","No","Moderate exposure",1180,0.483050847457627,1013,-6.96237328750989,5.5499182010017
2,23,2017,"Year 9","Grammar and Punctuation","No","Moderate exposure",1206,0.479270315091211,1018,2.2556147897554,5.39514753930149
2,24,2018,"Year 9","Grammar and Punctuation","No","Moderate exposure",1185,0.487763713080169,1022,-6.28831144077388,5.683177740304
3,29,2008,"Year 7","Grammar and Punctuation","Yes","No to low exposure",739,0.491204330175913,1008,-10.6853956257614,7.11069978857862
3,30,2009,"Year 7","Grammar and Punctuation","Yes","No to low exposure",712,0.497191011235955,1008,-10.6983293633107,7.23404667093235
3,31,2010,"Year 7","Grammar and Punctuation","Yes","No to low exposure",716,0.486033519553073,952,-21.0219833718057,7.3483698773834
3,32,2011,"Year 7","Grammar and Punctuation","Yes","No to low exposure",703,0.493598862019915,952,-18.9931134986212,7.04344062611708
3,33,2012,"Year 7","Grammar and Punctuation","Yes","No to low exposure",671,0.497764530551416,949,-15.2908291701461,8.21333422002731
3,34,2013,"Year 7","Grammar and Punctuation","Yes","No to low exposure",705,0.526241134751773,927,-21.5148473035937,8.25658863674933
3,35,2014,"Year 7","Grammar and Punctuation","Yes","No to low exposure",704,0.504261363636364,932,-16.3556204823029,7.58097034135688
